Date,Fear Greed
2024-01-02,79
2024-01-03,76
2024-01-04,78
2024-01-05,75
2024-01-08,76
2024-01-09,75
2024-01-10,76
2024-01-11,74
2024-01-12,73
2024-01-16,72
2024-01-17,57
2024-01-18,66
2024-01-19,72
2024-01-22,72
2024-01-23,70
2024-01-24,72
2024-01-25,73
2024-01-26,73
2024-01-29,74
2024-01-30,74
2024-01-31,64
2024-02-01,72
2024-02-02,74
2024-02-05,73
2024-02-06,73
2024-02-07,73
2024-02-08,74
2024-02-09,75
2024-02-12,75
2024-02-13,66
2024-02-14,67
2024-02-15,73
2024-02-16,73
2024-02-20,63
2024-02-21,63
2024-02-22,73
2024-02-23,73
2024-02-26,71
2024-02-27,75
2024-02-28,76
2024-02-29,77
2024-03-01,76
2024-03-04,79
2024-03-05,76
2024-03-06,72
2024-03-07,73
2024-03-08,70
2024-03-11,62
2024-03-12,72
2024-03-13,71
2024-03-14,70
2024-03-15,68
2024-03-18,70
2024-03-19,70
2024-03-20,69
2024-03-21,71
2024-03-22,69
2024-03-25,67
2024-03-26,67
2024-03-27,69
2024-03-28,68
2024-04-01,71
2024-04-02,71
2024-04-03,69
2024-04-04,53
2024-04-05,58
2024-04-08,64
2024-04-09,59
2024-04-10,49
2024-04-11,56
2024-04-12,45
2024-04-15,38
2024-04-16,35
2024-04-17,31
2024-04-18,30
2024-04-19,27
2024-04-22,34
2024-04-23,36
2024-04-24,37
2024-04-25,39
2024-04-26,40
2024-04-29,42
2024-04-30,40
2024-05-01,40
2024-05-02,42
2024-05-03,43
2024-05-06,39
2024-05-07,37
2024-05-08,38
2024-05-09,42
2024-05-10,46
2024-05-13,48
2024-05-14,55
2024-05-15,59
2024-05-16,62
2024-05-17,62
2024-05-20,60
2024-05-21,59
2024-05-22,58
2024-05-23,52
2024-05-24,51
2024-05-28,54
2024-05-29,49
2024-05-30,45
2024-05-31,48
2024-06-03,45
2024-06-04,47
2024-06-05,51
2024-06-06,45
2024-06-07,43
2024-06-10,44
2024-06-11,44
2024-06-12,46
2024-06-13,44
2024-06-14,41
2024-06-17,43
2024-06-18,41
2024-06-20,38
2024-06-21,39
2024-06-24,37
2024-06-25,37
2024-06-26,40
2024-06-27,45
2024-06-28,44
2024-07-01,47
2024-07-02,49
2024-07-03,48
2024-07-05,49
2024-07-08,51
2024-07-09,50
2024-07-10,54
2024-07-11,49
2024-07-12,54
2024-07-15,57
2024-07-16,57
2024-07-17,46
2024-07-18,45
2024-07-19,43
2024-07-22,48
2024-07-23,46
2024-07-24,38
2024-07-25,39
2024-07-26,42
2024-07-29,42
2024-07-30,40
2024-07-31,46
2024-08-01,42
2024-08-02,41
2024-08-05,33
2024-08-06,19
2024-08-07,16
2024-08-08,17
2024-08-09,24
2024-08-12,23
2024-08-13,25
2024-08-14,26
2024-08-15,32
2024-08-16,33
2024-08-19,39
2024-08-20,44
2024-08-21,50
2024-08-22,46
2024-08-23,51
2024-08-26,52
2024-08-27,52
2024-08-28,51
2024-08-29,56
2024-08-30,60
2024-09-03,56
2024-09-04,56
2024-09-05,50
2024-09-06,39
2024-09-09,41
2024-09-10,39
2024-09-11,43
2024-09-12,42
2024-09-13,48
2024-09-16,50
2024-09-17,54
2024-09-18,55
2024-09-19,63
2024-09-20,61
2024-09-23,63
2024-09-24,66
2024-09-25,65
2024-09-26,70
2024-09-27,67
2024-09-30,73
2024-10-01,70
2024-10-02,70
2024-10-03,69
2024-10-04,71
2024-10-07,70
2024-10-08,71
2024-10-09,71
2024-10-10,70
2024-10-11,71
2024-10-14,74
2024-10-15,71
2024-10-16,69
2024-10-17,68
2024-10-18,72
2024-10-21,69
2024-10-22,70
2024-10-23,63
2024-10-24,62
2024-10-25,58
2024-10-28,60
2024-10-29,60
2024-10-30,57
2024-10-31,40
2024-11-01,50
2024-11-04,42
2024-11-05,43
2024-11-06,44
2024-11-07,59
2024-11-08,59
2024-11-11,66
2024-11-12,66
2024-11-13,66
2024-11-14,60
2024-11-15,51
2024-11-18,50
2024-11-19,49
2024-11-20,49
2024-11-21,56
2024-11-22,60
2024-11-25,62
2024-11-26,65
2024-11-27,64
2024-11-29,65
2024-12-02,65
2024-12-03,59
2024-12-04,57
2024-12-05,54
2024-12-06,52
2024-12-09,49
2024-12-10,46
2024-12-11,49
2024-12-12,47
2024-12-13,49
2024-12-16,56
2024-12-17,51
2024-12-18,33
2024-12-19,19
2024-12-20,27
2024-12-23,30
2024-12-24,34
2024-12-26,34
2024-12-27,33
2024-12-30,28
2024-12-31,26
2025-01-02,24
2025-01-03,28
2025-01-06,33
2025-01-07,34
2025-01-08,31
2025-01-10,25
2025-01-13,25
2025-01-14,25
2025-01-15,27
2025-01-16,27
2025-01-17,36
2025-01-21,39
2025-01-22,41
2025-01-23,43
2025-01-24,45
2025-01-27,37
2025-01-28,40
2025-01-29,42
2025-01-30,45
2025-01-31,43
2025-02-03,37
2025-02-04,37
2025-02-05,38
2025-02-06,39
2025-02-07,38
2025-02-10,44
2025-02-11,45
2025-02-12,41
2025-02-13,46
2025-02-14,43
2025-02-18,46
2025-02-19,47
2025-02-20,44
2025-02-21,36
2025-02-24,29
2025-02-25,24
2025-02-26,21
2025-02-27,12
2025-02-28,20
2025-03-03,12
2025-03-04,11
2025-03-05,11
2025-03-06,17
2025-03-07,17
2025-03-10,17
2025-03-11,15
2025-03-12,15
2025-03-13,15
2025-03-14,22
2025-03-17,22
2025-03-18,22
2025-03-19,21
2025-03-20,21
2025-03-21,22
2025-03-24,25
2025-03-25,29
2025-03-26,28
2025-03-27,28
2025-03-28,26
2025-03-31,21
2025-04-01,19
2025-04-02,22
2025-04-03,12
2025-04-04,5
2025-04-07,4
2025-04-08,2
2025-04-09,9
2025-04-10,5
2025-04-11,8
2025-04-14,12
2025-04-15,13
2025-04-16,11
2025-04-17,16
2025-04-21,12
2025-04-22,13
2025-04-23,21
2025-04-24,24
2025-04-25,34
2025-04-28,32
2025-04-29,32
2025-04-30,32
2025-05-01,41
2025-05-02,38
2025-05-05,53
2025-05-06,54
2025-05-07,54
2025-05-08,57
2025-05-09,60
2025-05-12,64
2025-05-13,68
2025-05-14,70
2025-05-15,69
2025-05-16,70
2025-05-19,69
2025-05-20,69
2025-05-21,66
2025-05-22,66
2025-05-23,64
2025-05-27,65
2025-05-28,64
2025-05-29,64
2025-05-30,61
2025-06-02,62
2025-06-03,54
2025-06-04,54
2025-06-05,57
2025-06-06,61
2025-06-09,63
2025-06-10,64
2025-06-11,64
2025-06-12,64
2025-06-13,59
2025-06-16,61
2025-06-17,57
2025-06-18,54
2025-06-20,54
2025-06-23,56
2025-06-24,57
2025-06-25,59
2025-06-26,63
2025-06-27,64
2025-06-30,69
2025-07-01,67
2025-07-02,63
2025-07-03,77
2025-07-07,75
2025-07-08,74
2025-07-09,75
2025-07-10,76
2025-07-11,75
2025-07-14,76
2025-07-15,73
2025-07-16,73
2025-07-17,75
2025-07-18,74
2025-07-21,72
2025-07-22,73
2025-07-23,76
2025-07-24,74
2025-07-25,73
2025-07-28,72
2025-07-29,68
2025-07-30,65
2025-07-31,59
2025-08-01,56
2025-08-04,56
2025-08-05,53
2025-08-06,55
2025-08-07,54
2025-08-08,59
2025-08-11,58
2025-08-12,62
2025-08-13,64
2025-08-14,63
2025-08-15,65
2025-08-15,65
